costo;descripcion;precio;nombre_comercial;Actividad econmica principal;word2num1;word2num2
73;pension segundo nv marzo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.092212797;0.124669163
70.62;pension tercero septiemnre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.061416594;0.124669163
70.62;pension tercero noviembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066771184;0.124669163
70.62;pension tercero mayo;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.074533923;0.124669163
73;pension tercero nv marzo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.092039317;0.124669163
70.62;pension cuarto septiembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.079405269;0.124669163
70.62;pension quinto abril;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066037537;0.124669163
73;pension septimo nv diciembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091279371;0.124669163
81.88;pension inicial octubre;81.88;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.083032056;0.124669163
82.21;pension inicial nv diciembre;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.095584364;0.124669163
70.62;pension primero junio;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.081462186;0.124669163
73;pension primero nv noviembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.095870716;0.124669163
73;pension primero nv febrero;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.095490252;0.124669163
73;pension segundo nv septiembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.104531345;0.124669163
70.62;pension cuarto junio;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.077673045;0.124669163
73;pension cuarto nv abril;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.09150903;0.124669163
70.62;pension quinto septiembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.07906527;0.124669163
70.62;pension sexto septiembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.079171536;0.124669163
70.62;pension octavo marzo;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066633194;0.124669163
82.21;pension inicial septiembre;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.083248192;0.124669163
70.62;pension primero octubre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.082978275;0.124669163
70.62;pension primero abril;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070166678;0.124669163
70.62;pension segundo junio;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.077667628;0.124669163
73;pension tercero nv octubre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.104141729;0.124669163
70.62;pension septimo septiembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.078943199;0.124669163
73;pension septimo nv febrero;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.09123904;0.124669163
82.21;pension inicial diciembre;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070452871;0.124669163
82.21;pension inicial nv marzo;82.21;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.096061137;0.124669163
70.62;pension primero septiembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.08319441;0.124669163
70.62;pension primero noviembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070739223;0.124669163
73;pension primero nv mayo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.103633455;0.124669163
70.62;pension segundo noviembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066944664;0.124669163
73;pension segundo nv abril;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091503612;0.124669163
70.62;pension tercero enero;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066889405;0.124669163
70.62;pension tercero abril;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066198639;0.124669163
70.62;pension tercero junio;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.077494147;0.124669163
73;pension tercero nv abril;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091330132;0.124669163
70.62;pension cuarto octubre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.079189134;0.124669163
70.62;pension cuarto noviembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066950082;0.124669163
73;pension cuarto nv septiembre;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.104536762;0.124669163
73;pension quinto nv febrero;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.091361111;0.124669163
73;pension quinto nv junio;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.102464539;0.124669163
81.88;pension inicial abril;81.88;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.070220459;0.124669163
70.62;pension segundo septiembre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.079399852;0.124669163
70.62;pension segundo octubre;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.079183716;0.124669163
73;pension tercero nv mayo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.099665416;0.124669163
70.62;pension cuarto marzo;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.067086721;0.124669163
73;pension cuarto nv marzo;73;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.092218214;0.124669163
70.62;pension quinto enero;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.066728304;0.124669163
70.62;pension sexto enero;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.06683457;0.124669163
70.62;pension sexto mayo;70.62;UNIDAD EDUCATIVA LEONTIEV VIGOTSKY;enseanza preescolar;0.074479087;0.124669163
